## Gene and Gene Product information for Escherichia coli K-12 substr. MG1655
## Columns:
## (1) Gene identifier assigned by RegulonDB
## (2) Gene name
## (3) Gene left end position in the genome
## (4) Gene right end position in the genome
## (5) DNA strand where the gene is coded
## (6) other gene synonyms
## (7) Other database's id related to gene
## (8) Product identifier of the gene
## (9) Product name of the gene
## (10) Other products synonyms
## (11) Other database's id related to product
1)geneId	2)geneName	3)leftEndPos	4)rightEndPos	5)strand	6)geneSynonyms	7)otherDbsGeneIds	8)productId	9)productName	10)productSynonyms	11)otherDbsProductsIds
RDBECOLIGNC00001	gene1	1000	1500	forward	gene15,EG00001	[ASKA:ECK0001+b0001+JW0001+gene1][KEIO:ECK0001+b0001+JW0001+gene1]	RDBECOLIPDC00001	protein gene1		
RDBECOLIGNC00002	gene2	2000	2500	forward	gene25,EG00002	[ASKA:ECK0002+b0002+JW0002+gene2][KEIO:ECK0002+b0002+JW0002+gene2]	RDBECOLIPDC00002	protein gene2		
RDBECOLIGNC00003	gene3	3000	3500	forward	gene35,EG00003	[ASKA:ECK0003+b0003+JW0003+gene3][KEIO:ECK0003+b0003+JW0003+gene3]	RDBECOLIPDC00003	protein gene3		
RDBECOLIGNC00004	gene4	4000	4500	forward	gene45,EG00004	[ASKA:ECK0004+b0004+JW0004+gene4][KEIO:ECK0004+b0004+JW0004+gene4]	RDBECOLIPDC00004	protein gene4		
RDBECOLIGNC00005	gene5	5000	5500	forward	gene55,EG00005	[ASKA:ECK0005+b0005+JW0005+gene5][KEIO:ECK0005+b0005+JW0005+gene5]	RDBECOLIPDC00005	protein gene5		
RDBECOLIGNC00006	gene6	6000	6500	forward	gene65,EG00006	[ASKA:ECK0006+b0006+JW0006+gene6][KEIO:ECK0006+b0006+JW0006+gene6]	RDBECOLIPDC00006	protein gene6		
RDBECOLIGNC00007	gene7	7000	7500	forward	gene75,EG00007	[ASKA:ECK0007+b0007+JW0007+gene7][KEIO:ECK0007+b0007+JW0007+gene7]	RDBECOLIPDC00007	protein gene7		
RDBECOLIGNC00008	gene8	8000	8500	forward	gene85,EG00008	[ASKA:ECK0008+b0008+JW0008+gene8][KEIO:ECK0008+b0008+JW0008+gene8]	RDBECOLIPDC00008	protein gene8		
RDBECOLIGNC00009	gene9	9000	9500	forward	gene95,EG00009	[ASKA:ECK0009+b0009+JW0009+gene9][KEIO:ECK0009+b0009+JW0009+gene9]	RDBECOLIPDC00009	protein gene9		
RDBECOLIGNC00010	gene10	10000	10500	forward	gene105,EG00010	[ASKA:ECK0010+b0010+JW0010+gene10][KEIO:ECK0010+b0010+JW0010+gene10]	RDBECOLIPDC00010	protein gene10		
RDBECOLIGNC00011	gene11	11000	11500	forward	gene115,EG00011	[ASKA:ECK0011+b0011+JW0011+gene11][KEIO:ECK0011+b0011+JW0011+gene11]	RDBECOLIPDC00011	protein gene11		
RDBECOLIGNC00012	gene12	12000	12500	forward	gene125,EG00012	[ASKA:ECK0012+b0012+JW0012+gene12][KEIO:ECK0012+b0012+JW0012+gene12]	RDBECOLIPDC00012	protein gene12		
RDBECOLIGNC00013	gene13	13000	13500	forward	gene135,EG00013	[ASKA:ECK0013+b0013+JW0013+gene13][KEIO:ECK0013+b0013+JW0013+gene13]	RDBECOLIPDC00013	protein gene13		
RDBECOLIGNC00014	gene14	14000	14500	forward	gene145,EG00014	[ASKA:ECK0014+b0014+JW0014+gene14][KEIO:ECK0014+b0014+JW0014+gene14]	RDBECOLIPDC00014	protein gene14		
RDBECOLIGNC00015	gene15	15000	15500	forward	gene155,EG00015	[ASKA:ECK0015+b0015+JW0015+gene15][KEIO:ECK0015+b0015+JW0015+gene15]	RDBECOLIPDC00015	protein gene15		
RDBECOLIGNC00016	gene16	16000	16500	forward	gene165,EG00016	[ASKA:ECK0016+b0016+JW0016+gene16][KEIO:ECK0016+b0016+JW0016+gene16]	RDBECOLIPDC00016	protein gene16		
RDBECOLIGNC00017	gene17	17000	17500	forward	gene175,EG00017	[ASKA:ECK0017+b0017+JW0017+gene17][KEIO:ECK0017+b0017+JW0017+gene17]	RDBECOLIPDC00017	protein gene17		
RDBECOLIGNC00018	gene18	18000	18500	forward	gene185,EG00018	[ASKA:ECK0018+b0018+JW0018+gene18][KEIO:ECK0018+b0018+JW0018+gene18]	RDBECOLIPDC00018	protein gene18		
RDBECOLIGNC00019	gene19	19000	19500	forward	gene195,EG00019	[ASKA:ECK0019+b0019+JW0019+gene19][KEIO:ECK0019+b0019+JW0019+gene19]	RDBECOLIPDC00019	protein gene19		
RDBECOLIGNC00020	gene20	20000	20500	forward	gene205,EG00020	[ASKA:ECK0020+b0020+JW0020+gene20][KEIO:ECK0020+b0020+JW0020+gene20]	RDBECOLIPDC00020	protein gene20		
